# -*- coding: utf-8 -*-,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
# A datafile created by Gustav!,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,
# Experiment: fNIRSandGerbils,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,
# Vocoded speech in spatially-separated speech or noise maskers.,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,
# $comments,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
S,Trial,Date,Block,Condition,masker,Soundfile,Ear,Times,,,,,,,,
victoriatest,40,3/15/2023,40,2,unscrambled,C:\Users\benri\Documents\GitHub\fNIRSandGerbils\stim\s_victoriatest\unscrambled\43_unscrambled.wav,b,1.678,3.151,4.922,5.682,,,,,
victoriatest,41,3/15/2023,41,1,scrambled,C:\Users\benri\Documents\GitHub\fNIRSandGerbils\stim\s_victoriatest\scrambled\48_scrambled.wav,b,1.53,2.293,3.756,5.306,,,,,
victoriatest,42,3/15/2023,42,2,unscrambled,C:\Users\benri\Documents\GitHub\fNIRSandGerbils\stim\s_victoriatest\unscrambled\45_unscrambled.wav,b,1.137,2.688,4.302,4.917,,,,,
victoriatest,43,3/15/2023,43,1,scrambled,C:\Users\benri\Documents\GitHub\fNIRSandGerbils\stim\s_victoriatest\scrambled\4_scrambled.wav,b,1.517,2.345,2.946,4.315,,,,,
victoriatest,44,3/15/2023,44,2,unscrambled,C:\Users\benri\Documents\GitHub\fNIRSandGerbils\stim\s_victoriatest\unscrambled\6_unscrambled.wav,b,1.983,3.136,4.35,6.168,,,,,
victoriatest,45,3/15/2023,45,1,scrambled,C:\Users\benri\Documents\GitHub\fNIRSandGerbils\stim\s_victoriatest\scrambled\5_scrambled.wav,b,0.754,2.747,3.513,4.508,,,,,
victoriatest,46,3/15/2023,46,2,unscrambled,C:\Users\benri\Documents\GitHub\fNIRSandGerbils\stim\s_victoriatest\unscrambled\7_unscrambled.wav,b,1.616,2.686,3.848,,,,,,
victoriatest,47,3/15/2023,47,1,scrambled,C:\Users\benri\Documents\GitHub\fNIRSandGerbils\stim\s_victoriatest\scrambled\8_scrambled.wav,b,1.922,3.933,4.785,,,,,,
victoriatest,48,3/15/2023,48,2,unscrambled,C:\Users\benri\Documents\GitHub\fNIRSandGerbils\stim\s_victoriatest\unscrambled\9_unscrambled.wav,b,0.52,3.681,5.598,,,,,,
emayatest,1,3/28/2023,1,1,scrambled,C:\Users\benri\Documents\GitHub\fNIRSandGerbils\stim\s_emayatest\scrambled\10_scrambled.wav,l,2.305,4.149,,,,,,,
emayatest,2,3/28/2023,2,2,unscrambled,C:\Users\benri\Documents\GitHub\fNIRSandGerbils\stim\s_emayatest\unscrambled\13_unscrambled.wav,b,3.089,4.148,5.662,,,,,,
emayatest,3,3/28/2023,3,1,scrambled,C:\Users\benri\Documents\GitHub\fNIRSandGerbils\stim\s_emayatest\scrambled\11_scrambled.wav,b,2.784,3.156,4.99,,,,,,
emayatest,4,3/28/2023,4,2,unscrambled,C:\Users\benri\Documents\GitHub\fNIRSandGerbils\stim\s_emayatest\unscrambled\14_unscrambled.wav,b,0.989,4.212,4.736,,,,,,
